id,code_id_1,code_id_2,label
964,1472,1473,1
653,638,696,1
982,1027,1054,1
628,638,671,1
15,2,22,1
533,508,575,1
382,378,411,1
1006,1504,1505,1
447,444,482,1
749,796,809,1
479,512,519,1
863,784,926,1
1052,1548,1549,1
568,526,610,1
281,285,301,1
207,1352,1353,1
851,840,914,1
390,380,419,1
173,1284,1285,1
225,1388,1389,1
219,1376,1377,1
930,993,994,1
864,771,927,1
200,1338,1339,1
759,767,819,1
27,30,37,1
74,60,89,0
963,1029,1030,1
178,1294,1295,1
1003,1027,1078,1
151,1240,1241,1
838,767,901,1
135,1208,1209,1
400,378,429,1
875,767,938,1
446,444,481,1
854,792,917,1
1050,1544,1545,1
287,304,308,1
186,1310,1311,1
18,2,26,1
776,767,837,1
934,993,998,0
715,703,764,1
694,712,743,1
336,304,357,0
1078,1160,1162,1
587,501,629,1
789,767,851,1
1046,1536,1537,1
639,638,682,1
399,374,428,1
941,993,1005,1
898,767,961,1
556,501,598,0
398,380,427,1
455,446,490,1
1027,1526,1527,1
815,792,878,1
695,718,744,1
720,771,772,1
853,773,916,1
998,1038,1072,1
84,63,99,1
682,701,731,1
662,707,708,1
912,784,975,1
874,767,937,1
987,1490,1491,1
763,792,824,1
583,505,625,0
441,442,476,1
904,767,967,1
1065,1574,1575,1
392,393,421,1
836,792,899,1
350,304,371,1
767,771,828,1
270,285,290,1
893,807,956,1
829,792,892,1
416,444,450,1
141,1220,1221,1
468,501,504,1
426,444,460,1
522,505,564,0
194,1326,1327,1
1011,1035,1086,1
313,304,334,0
70,1176,1177,1
283,285,303,1
280,285,300,1
223,1384,1385,1
48,60,61,1
820,771,883,1
680,701,729,1
57,63,72,1
10,2,15,1
1060,1564,1565,1
700,703,749,1
797,792,859,1
980,1484,1485,1
262,1462,1463,1
571,501,613,0
641,638,684,1
314,304,335,1
46,6,58,1
887,792,950,1
657,638,700,0
659,703,704,1
630,638,673,1
595,501,637,0
437,444,472,0
946,993,1010,1
824,773,887,1
230,1398,1399,1
740,792,798,1
250,1438,1439,1
407,431,437,1
137,1212,1213,1
53,1172,1173,1
418,448,452,1
478,517,518,0
958,993,1022,0
517,505,559,1
688,712,737,1
652,638,695,1
122,132,140,1
260,1458,1459,1
258,1454,1455,1
424,442,458,1
352,304,373,1
460,444,495,1
169,1276,1277,1
213,1364,1365,1
605,638,648,1
357,382,383,1
248,1434,1435,1
578,501,620,0
808,767,871,1
933,993,997,0
60,63,75,0
330,304,351,0
88,63,104,1
111,109,128,0
474,512,513,1
174,1286,1287,1
538,508,580,0
590,505,632,0
2,4,5,1
1076,1594,1595,1
488,501,529,0
367,374,395,1
549,508,591,0
816,792,879,1
1040,1038,1115,1
900,771,963,1
22,30,31,1
249,1436,1437,1
209,1356,1357,1
212,1362,1363,1
938,993,1002,0
948,993,1012,1
845,771,908,1
439,446,474,1
559,512,601,0
143,1224,1225,1
346,304,367,1
1055,1554,1555,1
775,767,836,1
612,638,655,0
269,285,289,1
259,1456,1457,1
1086,1160,1170,1
368,382,396,1
1012,1510,1511,1
358,384,385,1
689,718,738,1
21,0,29,1
883,767,946,1
405,431,435,1
1010,1508,1509,1
707,712,756,1
128,1194,1195,1
295,304,316,0
264,1466,1467,1
860,784,923,1
1015,1514,1515,1
308,304,329,1
872,767,935,1
888,807,951,1
967,1035,1036,1
573,508,615,0
261,1460,1461,1
504,501,546,1
928,807,991,1
215,1368,1369,1
732,787,788,1
285,304,306,1
780,767,842,1
356,380,381,1
493,505,534,1
50,63,64,1
765,771,826,1
704,703,753,1
572,505,614,0
663,701,709,1
1002,1076,1077,1
681,703,730,1
354,376,377,1
