code_id_1,code_id_2,code_1,code_2,LLM-based Technique,Tree-based NN Technique,ML-based Technique,Compiler-based Technique,operator-type,failure_category,
505,626,"bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}","bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation != ALIM());
    }
    return result;
}",0,0,0,0,ROR,Operator Coverage Mismatch,
444,488,"int *run(double throttle, int brakepedal)
{
   	double fdist=0.0;
   	double fspeed=0.0;
   	int speed, distance;
	int *result;
   	speed=0;
   	distance=0;
	fspeed = fspeed+((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;
	if (fspeed>maxSpeed) 
		fspeed=maxSpeed;
	if (fspeed<0)
		fspeed=0;
	fdist = fdist + (fspeed/36.0)/ticksPerSecond;
	speed = (int)fspeed;
	distance=(int)fdist;
	if (throttle>0.0) 
		throttle-=0.5/ticksPerSecond;
	if (throttle<0.0) 
		throttle=0;
  	result[0]=speed;
	result[1]=distance;
   	return result;
}","int *run(double throttle, int brakepedal)
{
   	double fdist=0.0;
   	double fspeed=0.0;
   	int speed, distance;
	int *result;
   	speed=0;
   	distance=0;
	fspeed = fspeed+((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;
	if (fspeed>maxSpeed) 
		fspeed=maxSpeed;
	if (fspeed<0)
		fspeed=0;
	fdist = fdist + (fspeed/36.0)/ticksPerSecond;
	speed = (int)fspeed;
	distance=(int)fdist;
	if (throttle>=0.0)
		throttle-=0.5/ticksPerSecond;
	if (throttle<0.0) 
		throttle=0;
  	result[0]=speed;
	result[1]=distance;
   	return result;
}",0,0,0,1,ROR,Operator Coverage Mismatch,
505,506,"bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}","bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep < MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}",0,1,0,0,ROR,Logical Complement Confusion,
444,445,"int *run(double throttle, int brakepedal)
{
   	double fdist=0.0;
   	double fspeed=0.0;
   	int speed, distance;
	int *result;
   	speed=0;
   	distance=0;
	fspeed = fspeed+((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;
	if (fspeed>maxSpeed) 
		fspeed=maxSpeed;
	if (fspeed<0)
		fspeed=0;
	fdist = fdist + (fspeed/36.0)/ticksPerSecond;
	speed = (int)fspeed;
	distance=(int)fdist;
	if (throttle>0.0) 
		throttle-=0.5/ticksPerSecond;
	if (throttle<0.0) 
		throttle=0;
  	result[0]=speed;
	result[1]=distance;
   	return result;
}","int *run(double throttle, int brakepedal)
{
   	double fdist=0.0;
   	double fspeed=0.0;
   	int speed, distance;
	int *result;
   	speed=0;
   	distance=0;
	fspeed = fspeed+((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;
	if (fspeed>maxSpeed) 
		fspeed=maxSpeed;
	if (fspeed<0)
		fspeed=0;
	fdist = fdist + (fspeed/36.0)/ticksPerSecond;
	speed = (int)fspeed;
	distance=(int)--fdist;
	if (throttle>0.0) 
		throttle-=0.5/ticksPerSecond;
	if (throttle<0.0) 
		throttle=0;
  	result[0]=speed;
	result[1]=distance;
   	return result;
}",0,0,0,1,AOIS,Type-Coercion / Language-Specific Semantic Subtlety,
505,515,"bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}","bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep <= MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}",0,1,0,0,ROR,Symmetric Boundary Reversal,
993,1015,"{ 
	unsigned int day,month,year,sum,leap; 
	printf(""\n please input year,month,day\n""); 
	scanf(""%d,%d,%d"",&year,&month,&day); 
	switch(month) 
	{	case 1:sum=0;
			break; 
		case 2:sum=31;
			break;
		case 3:sum=59;
			break; 
		case 4:sum=90;
			break;
		case 5:sum=120;
			break; 
		case 6:sum=151;
			break; 
		case 7:sum=181;
			break; 
		case 8:sum=212;
			break; 
		case 9:sum=243;
			break; 
		case 10:sum=273;
			break; 
		case 11:sum=304;
			break;
		case 12:sum=334;
			break; 
		default:printf(""data error"");
			break; } 
	sum=sum+day;
	if(year%400==0||(year%4==0&&year%100!=0))
		leap=1; 
	else 
		leap=0; 
	if(leap==1&&month>2)
		sum++; 
	printf(""It is the %d th day."",sum);
}","{ 
	unsigned int day,month,year,sum,leap; 
	printf(""\n please input year,month,day\n""); 
	scanf(""%d,%d,%d"",&year,&month,&day); 
	switch(month) 
	{	case 1:sum=0;
			break; 
		case 2:sum=31;
			break;
		case 3:sum=59;
			break; 
		case 4:sum=90;
			break;
		case 5:sum=120;
			break; 
		case 6:sum=151;
			break; 
		case 7:sum=181;
			break; 
		case 8:sum=212;
			break; 
		case 9:sum=243;
			break; 
		case 10:sum=273;
			break; 
		case 11:sum=304;
			break;
		case 12:sum=334;
			break; 
		default:printf(""data error"");
			break; } 
	sum=sum+day;
	if(year%400==0||(year%4==0&&year%100!=0))
		leap=1; 
	else 
		leap=0; 
	if(leap>=1&&month>2)
		sum++; 
	printf(""It is the %d th day."",sum);
}",0,1,1,0,ROR,Operator Coverage Mismatch,
444,483,"int *run(double throttle, int brakepedal)
{
   	double fdist=0.0;
   	double fspeed=0.0;
   	int speed, distance;
	int *result;
   	speed=0;
   	distance=0;
	fspeed = fspeed+((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;
	if (fspeed>maxSpeed) 
		fspeed=maxSpeed;
	if (fspeed<0)
		fspeed=0;
	fdist = fdist + (fspeed/36.0)/ticksPerSecond;
	speed = (int)fspeed;
	distance=(int)fdist;
	if (throttle>0.0) 
		throttle-=0.5/ticksPerSecond;
	if (throttle<0.0) 
		throttle=0;
  	result[0]=speed;
	result[1]=distance;
   	return result;
}","int *run(double throttle, int brakepedal)
{
   	double fdist=0.0;
   	double fspeed=0.0;
   	int speed, distance;
	int *result;
   	speed=0;
   	distance=0;
	fspeed = fspeed+++((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;
	if (fspeed>maxSpeed) 
		fspeed=maxSpeed;
	if (fspeed<0)
		fspeed=0;
	fdist = fdist + (fspeed/36.0)/ticksPerSecond;
	speed = (int)fspeed;
	distance=(int)fdist;
	if (throttle>0.0) 
		throttle-=0.5/ticksPerSecond;
	if (throttle<0.0) 
		throttle=0;
  	result[0]=speed;
	result[1]=distance;
   	return result;
}",0,0,0,1,AOIS,Type-Coercion / Language-Specific Semantic Subtlety,
505,516,"bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}","bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation <= ALIM());
    }
    return result;
}",0,1,0,0,ROR,Symmetric Boundary Reversal,
993,1008,"{ 
	unsigned int day,month,year,sum,leap; 
	printf(""\n please input year,month,day\n""); 
	scanf(""%d,%d,%d"",&year,&month,&day); 
	switch(month) 
	{	case 1:sum=0;
			break; 
		case 2:sum=31;
			break;
		case 3:sum=59;
			break; 
		case 4:sum=90;
			break;
		case 5:sum=120;
			break; 
		case 6:sum=151;
			break; 
		case 7:sum=181;
			break; 
		case 8:sum=212;
			break; 
		case 9:sum=243;
			break; 
		case 10:sum=273;
			break; 
		case 11:sum=304;
			break;
		case 12:sum=334;
			break; 
		default:printf(""data error"");
			break; } 
	sum=sum+day;
	if(year%400==0||(year%4==0&&year%100!=0))
		leap=1; 
	else 
		leap=0; 
	if(leap==1&&month>2)
		sum++; 
	printf(""It is the %d th day."",sum);
}","{ 
	unsigned int day,month,year,sum,leap; 
	printf(""\n please input year,month,day\n""); 
	scanf(""%d,%d,%d"",&year,&month,&day); 
	switch(month) 
	{	case 1:sum=0;
			break; 
		case 2:sum=31;
			break;
		case 3:sum=59;
			break; 
		case 4:sum=90;
			break;
		case 5:sum=120;
			break; 
		case 6:sum=151;
			break; 
		case 7:sum=181;
			break; 
		case 8:sum=212;
			break; 
		case 9:sum=243;
			break; 
		case 10:sum=273;
			break; 
		case 11:sum=304;
			break;
		case 12:sum=334;
			break; 
		default:printf(""data error"");
			break; } 
	sum=sum+day;
	if(year%400==0||(year++%4==0&&year%100!=0))
		leap=1; 
	else 
		leap=0; 
	if(leap==1&&month>2)
		sum++; 
	printf(""It is the %d th day."",sum);
}",0,0,0,1,AOIS,Subtle Semantic Equivalence via Algebraic Identity,
505,599,"bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep >= MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}","bool Non_Crossing_Biased_Climb()
{
    int upward_preferred;
    int upward_crossing_situation;
    bool result;
    upward_preferred = Inhibit_Biased_Climb() > Down_Separation;
    if (upward_preferred)
    {
	result = !(Own_Below_Threat()) || ((Own_Below_Threat()) && (!(Down_Separation >= ALIM())));
    }
    else
    {
	result = Own_Above_Threat() && (Cur_Vertical_Sep == MINSEP) && (Up_Separation >= ALIM());
    }
    return result;
}",0,1,0,0,ROR,Operator Coverage Mismatch,
