id,code,mutant-info
0,"List *append_ele(a_list, a_ele)
List *a_list;
Ele  *a_ele;
{
  if (!a_list)
      a_list = new_list();	 
  a_ele->prev = a_list->last;	 
  if (a_list->last)
    a_list->last->next = a_ele;
  else
    a_list->first = a_ele;
  a_list->last = a_ele;
  a_ele->next = NULL;
  a_list->mem_count++;
  return (a_list);
}",
1,"List *append_ele(a_list, a_ele)
List *a_list;
Ele  *a_ele;
{
  if (!a_list)
      a_list = new_list();	 
  a_ele->prev = a_list->last;	 
  if (a_list->last)
    a_list->last->next = a_ele;
  else
    a_list->first = abs(a_ele);
  a_list->last = a_ele;
  a_ele->next = NULL;
  a_list->mem_count++;
  return (a_list);
}","<mb:mutant#81d2eef9dd428a4e8f30c1fef95ecff770bf73cb> a mb:Mutant ;
    schema:citation <mb:paper#yao2015study> ;
    mb:difference """"""@@ -84 +84 @@
-    a_list->first = a_ele;
+    a_list->first = abs(a_ele);
"""""" ;
    mb:equivalence ""true""^^schema:boolean ;
    mb:operator <mb:operator#ABSI> ;
    mb:program <mb:program#Schedule.c> ."
2,"Ele* new_ele(new_num) 
int new_num;
{	
    Ele *ele;
    ele =(Ele *)malloc(sizeof(Ele));
    ele->next = NULL;
    ele->prev = NULL;
    ele->val  = new_num;
    return ele;
}",
3,"Ele* new_ele(new_num) 
int new_num;
{	
    Ele *ele;
    ele =(Ele *)malloc(sizeof(Ele));
    ele->next = NULL;
    ele->prev = NULL;
    ele->val  = new_num--;
    return ele;
}","<mb:mutant#ecfcd1b861c6d4d803970e11ffa9fdf0af3007ff> a mb:Mutant ;
    schema:citation <mb:paper#yao2015study> ;
    mb:difference """"""@@ -46 +46 @@
-    ele->val  = new_num;
+    ele->val  = new_num--;
"""""" ;
    mb:equivalence ""true""^^schema:boolean ;
    mb:operator <mb:operator#AOIS> ;
    mb:program <mb:program#Schedule.c> ."
4,"{
    int i;
    cur_proc = NULL;
    for (i=MAXPRIO; i > 0; i--)
    {
	if (prio_queue[i]->mem_count > 0)
	{
	    cur_proc = prio_queue[i]->first;
	    prio_queue[i] = del_ele(prio_queue[i], cur_proc);
	    return;
	}
    }
}",
5,"{
    int i;
    cur_proc = NULL;
    for (i=MAXPRIO; i > 0; i--)
    {
	if (prio_queue[i]->mem_count != 0)
	{
	    cur_proc = prio_queue[i]->first;
	    prio_queue[i] = del_ele(prio_queue[i], cur_proc);
	    return;
	}
    }
}","<mb:mutant#1a4c8669a94f61975dd4d25355c1ebf0e61b172f> a mb:Mutant ;
    schema:citation <mb:paper#yao2015study> ;
    mb:difference """"""@@ -182 +182 @@
-	if (prio_queue[i]->mem_count > 0)
+	if (prio_queue[i]->mem_count != 0)
"""""" ;
    mb:equivalence ""true""^^schema:boolean ;
    mb:operator <mb:operator#ROR> ;
    mb:program <mb:program#Schedule.c> ."
6,"void
upgrade_process_prio(prio, ratio)
int prio;
float ratio;
{
    int count;
    int n;
    Ele *proc;
    List *src_queue, *dest_queue;
    if (prio >= MAXPRIO)
	return;
    src_queue = prio_queue[prio];
    dest_queue = prio_queue[prio+1];
    count = src_queue->mem_count;
    if (count > 0)
    {
	n = (int) (count*ratio + 1);
	proc = find_nth(src_queue, n);
	if (proc) {
	    src_queue = del_ele(src_queue, proc);
	    proc->priority = prio;
	    dest_queue = append_ele(dest_queue, proc);
	}
    }
}",
7,"void
upgrade_process_prio(prio, ratio)
int prio;
float ratio;
{
    int count;
    int n;
    Ele *proc;
    List *src_queue, *dest_queue;
    if (prio >= MAXPRIO)
	return;
    src_queue = prio_queue[prio];
    dest_queue = prio_queue[prio+1];
    count = src_queue->mem_count;
    if (count > 0)
    {
	n = (int) (count*ratio + 1);
	proc = find_nth(src_queue, n);
	if (proc) {
	    src_queue = del_ele(src_queue, abs(proc));
	    proc->priority = prio;
	    dest_queue = append_ele(dest_queue, proc);
	}
    }
}","<mb:mutant#4cf4e3b780a202740eb7b4891e788ccbdf5d6b38> a mb:Mutant ;
    schema:citation <mb:paper#yao2015study> ;
    mb:difference """"""@@ -212 +212 @@
-	    src_queue = del_ele(src_queue, proc);
+	    src_queue = del_ele(src_queue, abs(proc));
"""""" ;
    mb:equivalence ""true""^^schema:boolean ;
    mb:operator <mb:operator#ABSI> ;
    mb:program <mb:program#Schedule.c> ."
8,"List *append_ele(a_list, a_ele)
List *a_list;
Ele  *a_ele;
{
  if (!a_list)
      a_list = new_list();	 
  a_ele->prev = a_list->last;	 
  if (a_list->last)
    a_list->last->next = a_ele;
  else
    a_list->first = a_ele;
  a_list->last = abs(a_ele);
  a_ele->next = NULL;
  a_list->mem_count++;
  return (a_list);
}","<mb:mutant#d454fcecde6fd68f34e520e73a52be0ac58d2d70> a mb:Mutant ;
    schema:citation <mb:paper#yao2015study> ;
    mb:difference """"""@@ -85 +85 @@
-  a_list->last = a_ele;
+  a_list->last = abs(a_ele);
"""""" ;
    mb:equivalence ""true""^^schema:boolean ;
    mb:operator <mb:operator#ABSI> ;
    mb:program <mb:program#Schedule.c> ."
9,"void
upgrade_process_prio(prio, ratio)
int prio;
float ratio;
{
    int count;
    int n;
    Ele *proc;
    List *src_queue, *dest_queue;
    if (prio >= MAXPRIO)
	return;
    src_queue = prio_queue[prio];
    dest_queue = prio_queue[prio+1];
    count = src_queue->mem_count;
    if (count > 0)
    {
	n = (int) (abs(count)*ratio + 1);
	proc = find_nth(src_queue, n);
	if (proc) {
	    src_queue = del_ele(src_queue, proc);
	    proc->priority = prio;
	    dest_queue = append_ele(dest_queue, proc);
	}
    }
}","<mb:mutant#5339dc49e78856bf0a86d27e7d0dad04e995e6a5> a mb:Mutant ;
    schema:citation <mb:paper#yao2015study> ;
    mb:difference """"""@@ -209 +209 @@
-	n = (int) (count*ratio + 1);
+	n = (int) (abs(count)*ratio + 1);
"""""" ;
    mb:equivalence ""true""^^schema:boolean ;
    mb:operator <mb:operator#ABSI> ;
    mb:program <mb:program#Schedule.c> ."
10,"List *del_ele(d_list, d_ele)
List *d_list;
Ele  *d_ele;
{
    if (!d_list || !d_ele)
	return (NULL);
    if (d_ele->next)
	d_ele->next->prev = d_ele->prev;
    else
	d_list->last = d_ele->prev;
    if (d_ele->prev)
	d_ele->prev->next = d_ele->next;
    else
	d_list->first = d_ele->next;
    d_list->mem_count--;
    return (d_list);
}",
