id,code_id_1,code_id_2,label
830,792,893,1
908,792,971,1
527,517,569,1
584,505,626,1
810,792,873,1
889,771,952,1
734,784,790,1
724,773,777,1
322,304,343,1
297,304,318,1
65,60,80,1
453,444,488,0
44,0,56,1
196,1330,1331,1
388,376,417,1
377,403,406,1
1056,1556,1557,1
402,431,432,0
389,378,418,1
761,821,822,1
868,767,931,1
469,505,506,1
921,767,984,1
861,767,924,1
149,1236,1237,1
157,1252,1253,1
298,304,319,1
1059,1562,1563,1
1067,1578,1579,1
735,784,791,1
413,444,445,0
881,773,944,1
476,505,515,1
529,501,571,0
154,1246,1247,1
939,993,1003,0
130,1198,1199,1
951,993,1015,1
894,767,957,1
214,1366,1367,1
779,840,841,1
71,63,86,1
309,304,330,1
461,444,496,1
645,638,688,0
774,771,835,1
660,701,705,1
976,1038,1047,1
99,109,116,1
341,304,362,1
547,526,589,0
36,10,47,1
604,638,647,1
909,787,972,1
448,444,483,0
649,638,692,0
387,382,416,1
825,840,888,1
960,993,1024,1
66,60,81,0
76,63,91,1
299,304,320,0
852,771,915,1
87,60,103,0
156,1250,1251,1
727,771,781,1
199,1336,1337,1
785,792,847,1
155,1248,1249,1
140,1218,1219,1
1019,1029,1094,1
1022,1027,1097,1
131,1200,1201,1
751,792,811,1
235,1408,1409,1
145,1228,1229,1
945,993,1009,0
121,132,139,1
918,792,981,1
837,771,900,1
696,703,745,1
575,508,617,0
342,304,363,1
791,767,853,1
907,784,970,1
81,60,96,0
589,508,631,1
275,285,295,1
3,6,7,1
760,767,820,1
990,1492,1493,1
232,1402,1403,1
32,0,43,1
1080,1160,1164,1
246,1430,1431,1
772,807,833,1
477,505,516,1
989,1055,1062,1
238,1414,1415,1
347,304,368,1
793,821,855,1
1026,1524,1525,1
429,448,463,0
1042,1044,1117,1
794,773,856,1
43,54,55,1
509,508,551,1
1087,1160,1171,1
318,304,339,0
375,403,404,1
420,442,454,1
371,378,399,1
574,512,616,1
473,505,511,0
944,993,1008,0
167,1272,1273,1
795,792,857,1
409,431,439,1
502,543,544,0
716,703,765,1
1063,1570,1571,1
187,1312,1313,1
231,1400,1401,1
211,1360,1361,1
965,1029,1033,1
679,703,728,1
554,501,596,0
841,800,904,1
702,707,751,1
650,638,693,0
82,63,97,1
526,512,568,0
404,431,434,1
596,638,639,1
